A,B,freq,genericity,Class
amendement,vise,4076,4.603380067,drop
présent,amendement,3617,4.722851229,drop
projet,loi,2502,5.09140577,drop
amendement,propose,1773,5.435823155,drop
article,code,1729,5.460952975,drop
amendement,rédactionnel,1449,5.637622519,type
article,loi,809,6.220452544,drop
mise,œuvre,805,6.225409183,drop
loi,finances,783,6.253118765,actor
millions,euros,730,6.323206927,theme
amendement,objet,683,6.389756601,drop
assemblée,nationale,657,6.428567442,actor
collectivités,territoriales,640,6.454783285,actor
logements,sociaux,633,6.465781039,theme
mise,place,559,6.590101988,drop
logement,social,510,6.681840735,theme
présent,projet,496,6.709675534,drop
compte,tenu,478,6.746640728,drop
code,général,477,6.74873497,support
proposition,loi,476,6.750833607,support
crédit,impôt,462,6.78068657,theme
article,projet,447,6.813692866,drop
conseil,état,443,6.822681691,actor
amendement,précision,434,6.843206927,type
présent,article,423,6.868879282,drop
sécurité,sociale,409,6.902536305,theme
prendre,compte,395,6.937365696,drop
formation,professionnelle,371,7.000049398,theme
général,impôts,366,7.013618127,support
prise,charge,353,7.049783404,drop
alinéa,article,353,7.049783404,drop
demandeurs,asile,352,7.052620285,theme
union,européenne,345,7.072707044,actor
amendement,prévoit,339,7.090251353,drop
code,travail,337,7.096168531,support
service,public,329,7.12019371,theme
prise,compte,329,7.12019371,drop
droit,commun,322,7.141699915,drop
code,construction,319,7.151060358,support
prévue,article,310,7.179679163,drop
construction,habitation,308,7.186151678,theme
objet,amendement,307,7.189403713,drop
établissements,publics,299,7.215807887,actor
restauration,collective,298,7.219157974,theme
transition,énergétique,298,7.219157974,theme
tenir,compte,298,7.219157974,drop
prévu,article,292,7.239497659,drop
administration,fiscale,291,7.242928194,actor
mettre,place,286,7.26025965,drop
milliards,euros,282,7.27434439,theme
vise,permettre,281,7.277896792,intention
amendement,coordination,279,7.285039679,type
code,rural,279,7.285039679,support
conseil,constitutionnel,276,7.295850595,actor
article,prévoit,275,7.299480363,drop
code,pénal,272,7.310449395,support
code,urbanisme,271,7.31413264,support
intérêt,général,263,7.344097429,drop
dispositions,article,261,7.351731054,drop
bailleurs,sociaux,258,7.363291876,theme
situation,handicap,257,7.367175376,theme
champ,application,255,7.374987916,drop
amendement,objectif,255,7.374987916,intention
produits,phytopharmaceutiques,255,7.374987916,theme
entrée,vigueur,253,7.382861972,support
établissement,public,246,7.410919925,theme
mis,place,243,7.423190018,drop
vise,préciser,242,7.427313735,intention
loi,juillet,238,7.443980787,drop
président,république,236,7.452419656,actor
étude,impact,235,7.456665947,support
enseignement,supérieur,222,7.513574079,theme
santé,publique,221,7.518088759,theme
personnes,situation,220,7.522623915,drop
vise,supprimer,220,7.522623915,intention
finances,publiques,219,7.527179731,theme
application,article,217,7.536354107,support
loi,prévoit,217,7.536354107,drop
mettre,œuvre,217,7.536354107,drop
code,environnement,212,7.559665186,support
amendement,permet,211,7.564393327,drop
cas,échéant,210,7.56914393,drop
personnes,handicapées,202,7.607983763,theme
impôt,revenu,202,7.607983763,theme
délai,mois,202,7.607983763,drop
article,constitution,201,7.612946553,drop
organismes,hlm,201,7.612946553,drop
faire,objet,200,7.617934094,drop
article,bis,198,7.62798443,drop
titre,séjour,191,7.663978033,theme
pouvoirs,publics,189,7.674504446,theme
territoire,français,189,7.674504446,drop
compter,janvier,188,7.679809498,drop
rédaction,actuelle,188,7.679809498,drop
objet,présent,188,7.679809498,drop
produits,agricoles,187,7.685142844,theme
code,commerce,186,7.690504787,support
demande,asile,184,7.701315703,theme
mettre,fin,182,7.712244774,drop
pays,origine,181,7.71775443,theme
coopération,intercommunale,181,7.71775443,theme
supprimer,article,180,7.72329461,drop
décret,conseil,179,7.728865655,support
énergies,renouvelables,179,7.728865655,theme
action,publique,177,7.740101728,theme
agriculture,biologique,177,7.740101728,theme
rural,pêche,177,7.740101728,theme
pêche,maritime,174,7.757196162,theme
produits,alimentaires,173,7.762959866,theme
loi,n,172,7.768756984,drop
propose,supprimer,171,7.774587904,intention
france,compétences,171,7.774587904,drop
développement,durable,170,7.780453024,theme
états,généraux,168,7.792287481,theme
fausses,informations,168,7.792287481,theme
prévues,article,168,7.792287481,drop
permis,construire,168,7.792287481,theme
généraux,alimentation,168,7.792287481,theme
objectif,amendement,168,7.792287481,drop
états,membres,168,7.792287481,actor
collectivités,locales,168,7.792287481,actor
loi,décembre,167,7.798257648,drop
territoire,national,166,7.804263673,drop
code,sécurité,166,7.804263673,support
réduction,impôt,165,7.810305987,theme
article,l,165,7.810305987,drop
dernières,années,165,7.810305987,drop
mixité,sociale,159,7.847347259,theme
personnes,âgées,158,7.853656428,theme
ores,déjà,158,7.853656428,drop
article,présent,157,7.860005656,drop
construction,logements,157,7.860005656,theme
politiques,publiques,156,7.866395454,drop
droits,homme,156,7.866395454,theme
fonction,publique,155,7.872826344,theme
vise,renforcer,154,7.879298858,intention
performance,énergétique,153,7.885813539,theme
gaz,serre,153,7.885813539,theme
droit,asile,151,7.898971624,theme
zones,tendues,151,7.898971624,theme
article,vise,151,7.898971624,drop
chiffre,affaires,150,7.905616167,drop
code,civil,150,7.905616167,support
amendement,repli,150,7.905616167,type
communications,électroniques,150,7.905616167,theme
mise,disposition,149,7.912305155,drop
pris,compte,148,7.919039187,drop
taxe,habitation,147,7.925818874,theme
bonne,foi,147,7.925818874,drop
présente,loi,147,7.925818874,drop
loi,relative,146,7.932644839,drop
demandeur,asile,146,7.932644839,theme
ensemble,territoire,144,7.946438161,drop
opérateurs,compétences,144,7.946438161,drop
autorité,administrative,143,7.953406831,actor
denrées,alimentaires,142,7.960424403,theme
parlement,européen,142,7.960424403,actor
loi,programmation,141,7.96749157,support
dispositions,relatives,141,7.96749157,drop
loi,organique,140,7.974609038,support
finances,rectificative,140,7.974609038,support
jeux,olympiques,140,7.974609038,theme
bail,mobilité,139,7.981777528,theme
remettre,cause,136,8.003596575,drop
commission,européenne,135,8.010976682,institution
amendement,cohérence,135,8.010976682,type
amendement,proposé,135,8.010976682,drop
réserve,parlementaire,134,8.018411661,theme
vise,assurer,134,8.018411661,intention
assurance,maladie,134,8.018411661,theme
rénovation,énergétique,134,8.018411661,theme
taux,réduit,133,8.025902333,theme
parc,social,133,8.025902333,theme
conseil,etat,131,8.041054138,actor
nouvel,article,130,8.04871701,drop
marchés,publics,130,8.04871701,theme
amendement,précise,127,8.072064374,intention
loi,alur,127,8.072064374,theme
pouvoir,achat,127,8.072064374,theme
conseil,administration,126,8.079969554,theme
coûts,production,126,8.079969554,theme
ordre,public,123,8.104067105,theme
état,actuel,123,8.104067105,drop
grand,nombre,123,8.104067105,drop
cour,comptes,122,8.112230416,actor
i,article,122,8.112230416,drop
données,personnelles,122,8.112230416,theme
marché,travail,121,8.120460915,theme
vise,rétablir,121,8.120460915,intention
rédaction,article,121,8.120460915,drop
présente,proposition,120,8.128759718,support
valeur,ajoutée,118,8.145566836,theme
optimisation,fiscale,118,8.145566836,theme
développement,économique,118,8.145566836,theme
impôt,sociétés,118,8.145566836,theme
secteur,privé,117,8.154077526,theme
taxe,foncière,117,8.154077526,theme
articles,code,117,8.154077526,drop
organismes,logement,117,8.154077526,drop
politique,ville,116,8.16266127,theme
loi,août,116,8.16266127,drop
territoires,ruraux,116,8.16266127,theme
contrat,travail,115,8.171319333,theme
communes,habitants,115,8.171319333,drop
opération,urbanisme,114,8.180053012,drop
exposé,motifs,114,8.180053012,drop
vise,étendre,113,8.188863642,intention
mis,œuvre,112,8.19775259,drop
vie,privée,112,8.19775259,theme
fiscalité,propre,112,8.19775259,theme
vie,publique,112,8.19775259,theme
avis,conforme,111,8.20672126,support
application,dispositions,110,8.215771095,drop
mise,oeuvre,110,8.215771095,drop
prélèvement,source,110,8.215771095,theme
grande,opération,109,8.224903579,drop
équipements,publics,109,8.224903579,theme
établissements,enseignement,109,8.224903579,theme
sens,article,108,8.234120234,drop
transition,écologique,108,8.234120234,theme
point,vue,107,8.243422626,drop
faire,face,107,8.243422626,drop
loi,sru,106,8.252812367,theme
vise,garantir,106,8.252812367,intention
amendement,proposons,106,8.252812367,drop
compte,personnel,106,8.252812367,theme
pôle,emploi,106,8.252812367,actor
proposé,supprimer,105,8.262291111,drop
gaspillage,alimentaire,105,8.262291111,theme
loyer,modéré,104,8.271860562,theme
communes,nouvelles,104,8.271860562,theme
ii,article,103,8.281522473,drop
durée,maximale,103,8.281522473,drop
olympiques,paralympiques,103,8.281522473,theme
travailleurs,indépendants,103,8.281522473,theme
cahier,charges,103,8.281522473,drop
nationale,lecture,103,8.281522473,drop
activité,économique,102,8.291278648,drop
services,état,102,8.291278648,actor
vise,rendre,102,8.291278648,intention
commerce,équitable,102,8.291278648,theme
contrat,apprentissage,102,8.291278648,theme
femmes,hommes,101,8.301130944,drop
titre,exemple,101,8.301130944,drop
élus,locaux,101,8.301130944,actor
propose,rétablir,100,8.311081275,intention
changement,climatique,100,8.311081275,theme
prix,marges,99,8.321131611,drop
polynésie,française,98,8.331283982,actor
vente,logements,98,8.331283982,drop
partenaires,sociaux,98,8.331283982,actor
activité,professionnelle,98,8.331283982,theme
caisse,dépôts,97,8.341540482,actor
nouveau,dispositif,97,8.341540482,drop
personnel,formation,97,8.341540482,drop
commission,lois,97,8.341540482,actor
personnes,morales,96,8.351903269,drop
code,procédure,96,8.351903269,support
procédure,pénale,96,8.351903269,support
article,ter,96,8.351903269,drop
grande,distribution,96,8.351903269,thel
résidence,principale,96,8.351903269,theme
émissions,gaz,96,8.351903269,theme
dialogue,social,95,8.362374569,theme
produits,issus,95,8.362374569,drop
apparaît,nécessaire,95,8.362374569,drop
petites,entreprises,95,8.362374569,theme
aménagement,territoire,95,8.362374569,theme
euros,an,94,8.372956679,drop
entreprises,salariés,94,8.372956679,drop
financement,sécurité,94,8.372956679,support
titre,article,93,8.383651968,drop
droit,erreur,93,8.383651968,theme
personnes,physiques,92,8.394462884,drop
entrée,séjour,92,8.394462884,theme
rapport,information,92,8.394462884,intention
haute,autorité,92,8.394462884,actor
durée,ans,91,8.405391954,drop
habitat,indigne,91,8.405391954,theme
hausse,csg,91,8.405391954,theme
général,collectivités,91,8.405391954,support
tpe,pme,90,8.416441791,theme
loi,mars,90,8.416441791,drop
accès,logement,90,8.416441791,theme
loi,janvier,90,8.416441791,drop
loi,financement,90,8.416441791,support
travailleurs,handicapés,90,8.416441791,theme
grande,partie,90,8.416441791,drop
amendement,reprend,89,8.427615091,intention
inscrire,loi,89,8.427615091,intention
communes,epci,89,8.427615091,actor
dispositions,code,88,8.438914646,drop
dispositif,prévu,88,8.438914646,drop
code,éducation,88,8.438914646,support
ministre,chargé,88,8.438914646,actor
agit,amendement,88,8.438914646,drop
publics,coopération,88,8.438914646,drop
agit,ici,88,8.438914646,drop
taxe,séjour,88,8.438914646,theme
circuits,courts,88,8.438914646,theme
application,loi,87,8.450343342,support
régime,général,87,8.450343342,drop
professionnels,santé,87,8.450343342,drop
vise,mettre,87,8.450343342,intention
gaz,naturel,87,8.450343342,theme
haut,débit,87,8.450343342,theme
lecture,assemblée,87,8.450343342,drop
amendement,but,86,8.461904165,drop
