duplicates,sort,signataires,concurrents,legislature,signataire_special,nb_signataires,id,expose_ln,majorite,text_ln,groupes
1,Retiré,"M. Sommer, M. Barbier",8,15,,2,32772,587,True,250,LREM
1,Retiré,"M. Hetzel,  M. Marleix, M. Straumann, M. Quentin, M. Dive, M. Menuel, Mme Bazin-Malgras, M. Furst, M. Gosselin, M. Bazin, M. Rémi Delatte, M. Reiss, M. Pierre-Henri Dumont, M. Goasguen",1,15,,14,5,1132,False,1381,LR
1,Retiré,"Mme Fontaine-Domeizel,  M. Taquet, Mme Bagarry, Mme Janvier, Mme Mireille Robert, Mme Wonner, Mme Mauborgne, Mme Gaillot, Mme Tamarelle-Verhaeghe, Mme Khedher, Mme Lazaar, Mme Vignon, M. Marc Delatte, Mme Dupont, Mme Brocard",33,15,,15,32776,644,True,484,LREM
1,Non soutenu,M. Hetzel,3,15,,1,12,1720,False,2207,LR
1,Non soutenu,"M. Viala,  M. Cinieri, M. Straumann",7,15,,3,15,229,False,149,LR
2,Non soutenu,"M. Descoeur,  M. Sermier, M. Bony, M. Leclerc, M. Straumann, Mme Meunier, Mme Louwagie, M. Vialay, M. Brun, Mme Anthoine, Mme Bazin-Malgras, M. Abad, M. Lurton, M. Rolland, M. Fasquelle, M. Saddier, M. Jean-Pierre Vigier",89,15,,17,32784,169,False,291,LR
1,Retiré,"M. Hetzel,  M. Marleix, M. Straumann, M. Quentin, M. Dive, M. Menuel, Mme Bazin-Malgras, M. Furst, M. Gosselin, M. Bazin, M. Rémi Delatte, M. Reiss, M. Pierre-Henri Dumont, M. Goasguen",2,15,,14,18,264,False,708,LR
1,Adopté,"Mme Bareigts,  Mme Benin, Mme Manin, M. Serva, Mme Bello, Mme Sage, Mme Sanquer, M. Mathiasin, M. Kamardine, M. Letchimy, Mme Kéclard-Mondésir, M. Serville, M. Lorion, Mme Vainqueur-Christophe",23,15,,14,32787,4124,False,977,"GDR,LR,LREM,MODEM,NG,UAI"
1,Irrecevable,"M. Cherpion,  M. Viry, M. Jacob, Mme Brenier, Mme Corneloup, M. Door, M. Grelier, Mme Guion-Firmin, M. Lurton, Mme Levy, M. Perrut, M. Ramadier, Mme Ramassamy, Mme Valentin",1,15,,14,32788,,False,74,LR
1,Retiré avant séance,"Mme Piron,  Mme Lazaar, M. Pellois",9,15,,3,32793,484,True,230,LREM
1,Non soutenu,"M. Grelier,  Mme Louwagie, M. Lurton, Mme Corneloup, M. Bazin",100,15,,5,32794,181,False,197,LR
1,Non soutenu,M. Cesarini,100,15,,1,32795,597,True,39,LREM
1,Non soutenu,M. Prud'homme,4,15,,1,28,266,False,29,LFI
1,Non soutenu,Mme Brenier,7,15,,1,29,809,False,210,LC
1,Retiré,M. Vercamer,7,15,,1,32,293,False,157,LC
1,Adopté,Mme Do,16,15,,1,32802,579,True,532,LREM
1,Non soutenu,"M. Prud'homme,  Mme Autain, M. Bernalicis, M. Coquerel, M. Corbière, Mme Fiat, M. Lachaud, M. Larive, M. Mélenchon, Mme Obono, Mme Panot, M. Quatennens, M. Ratenon, Mme Ressiguier, Mme Rubin, M. Ruffin, Mme Taurine",7,15,,17,35,266,False,29,LFI
3,Adopté,"M. Lurton,  M. Cinieri, M. Cattin, M. Door, M. Ferrara, M. Hetzel, Mme Levy, M. Perrut, M. Dive, M. Saddier, Mme Louwagie, Mme Beauvais, M. Bazin, M. Quentin",37,15,,14,32805,160,False,208,LR
1,Non soutenu,M. Verchère,16,15,,1,32806,3062,False,493,LR
1,Non soutenu,"Mme Le Pen,  M. Aliot, M. Bilde, M. Chenu, M. Collard, M. Pajot",3,15,,6,32807,640,False,29,NI
3,Adopté,le Gouvernement,9,15,gouvernement,1,32808,1074,True,29,gouvernement
1,Retiré avant séance,Mme Do,2,15,,1,32809,611,True,190,LREM
2,Non soutenu,Mme Pascale Boyer,16,15,,1,32811,1542,True,416,LREM
2,Adopté,"M. Vercamer,  M. Benoit, Mme Auconie, M. Bournazel, M. Guy Bricout, M. Christophe, Mme de La Raudière, M. Demilly, Mme Descamps, M. Dunoyer, M. Favennec Becot, Mme Firmin Le Bodo, M. Gomès, M. Meyer Habib, M. Herth, M. Lagarde, M. Ledoux, M. Leroy, Mme Magnier, M. Morel-À-L'Huissier, M. Pancher, M. Riester, Mme Sage, Mme Sanquer, M. Philippe Vigier, M. Villiers, M. Zumkeller",11,15,,32,32812,817,False,111,UAI
1,Adopté,le Gouvernement,100,15,gouvernement,1,32814,671,True,346,gouvernement
1,Retiré,M. Pahun,8,15,,1,32815,399,True,125,MODEM
5,Non soutenu,M. Colombani,24,15,,1,32816,277,False,29,NI
1,Retiré,"M. Pupponi,  M. Aviragnet, Mme Battistel, Mme Biémouret, Mme Bareigts, M. Bouillon, M. Jean-Louis Bricout, M. Carvounas, M. Alain David, Mme Laurence Dumont, M. Faure, M. Garot, M. David Habib, M. Hutin, M. Juanico, Mme Karamanli, M. Jérôme Lambert, M. Le Foll, M. Letchimy, Mme Manin, Mme Pau-Langevin, Mme Pires Beaune, M. Potier, M. Pueyo, Mme Rabault, M. Saulignac, Mme Untermaier, Mme Vainqueur-Christophe, M. Vallaud, Mme Victory",11,15,,30,32817,2347,False,505,NG
1,Tombe,"Mme Pau-Langevin,  M. Juanico, Mme Manin, Mme Victory, M. Saulignac, les membres du groupe Nouvelle Gauche",14,15,,5,32818,863,False,105,NG
1,Retiré,"M. Vercamer,  M. Benoit, Mme Auconie, M. Bournazel, M. Guy Bricout, M. Christophe, M. Charles de Courson, Mme de La Raudière, M. Demilly, Mme Descamps, M. Dunoyer, M. Favennec Becot, Mme Firmin Le Bodo, M. Gomès, M. Meyer Habib, M. Herth, M. Lagarde, M. Ledoux, M. Leroy, Mme Magnier, M. Morel-À-L'Huissier, M. Naegelen, M. Pancher, M. Riester, Mme Sanquer, M. Philippe Vigier, M. Villiers, M. Zumkeller",16,15,,32,32823,842,False,423,UAI
1,Tombe,"Mme Faure-Muntian,  M. Leclabart, M. Besson-Moreau, M. Marilossian, M. Cazenove, M. Chalumeau, M. Kokouendo, Mme Toutut-Picard, Mme Cazebonne, M. Galbadon, Mme Beaudouin-Hubiere, Mme Hennion, M. Vignal, Mme De Temmerman, M. Claireaux, M. Bois, Mme Michel, Mme Kuric, M. Morenas, Mme Fontenel-Personne",7,15,,20,32824,1472,True,509,LREM
1,Retiré,"M. Pellois,  Mme Melchior, Mme Le Meur, M. Bothorel, M. André, M. Berville, Mme Cloarec, M. Jacques, M. Le Bohec, M. Le Gac, Mme Le Feur, Mme Le Peih, Mme Maillart-Méhaignerie, M. Molac, M. Rouillard, Mme Tanguy, Mme Kerbarh, M. Sorre, M. Galbadon",8,15,,21,32825,5564,True,745,LREM
4,Retiré,M. Bazin,11,15,,1,32827,176,False,129,LR
4,Adopté,"M. Lurton,  M. Cinieri, M. Cattin, M. Door, M. Ferrara, M. Hetzel, M. Saddier, Mme Louwagie, Mme Beauvais, M. Bazin",37,15,,10,32829,379,False,403,LR
3,Retiré,M. Bazin,37,15,,1,32830,328,False,29,LR
1,Non soutenu,"M. Charles de Courson,  M. Benoit, Mme Magnier",14,15,,32,32833,1720,False,4031,UAI
4,Retiré,M. Pupponi,37,15,,1,32835,537,False,360,NG
1,Retiré avant séance,"M. Brun,  M. Abad, Mme Anthoine, M. Aubert, M. Bazin, Mme Bazin-Malgras, Mme Bonnivard, M. Bony, M. Bouchet, M. Cattin, M. Cinieri, M. Cordier, Mme Dalloz, M. Descoeur, M. Door, Mme Marianne Dubois, Mme Duby-Muller, M. Ferrara, M. de Ganay, Mme Genevard, M. Gosselin, M. Leclerc, M. Le Fur, Mme Louwagie, M. Lurton, M. Hetzel, Mme Kuster, M. Masson, Mme Meunier, Mme Poletti, M. Quentin, M. Reda, M. Reiss, M. Saddier, M. Sermier, M. Straumann, M. Viala, M. Vialay, M. Viry",16,15,,39,32838,3651,False,323,LR
4,Tombe,M. Castellani,24,15,,1,32839,178,False,264,NI
1,Non soutenu,"M. Viala,  M. Cinieri, M. Straumann",7,15,,3,72,381,False,134,LR
1,Tombe,"Mme Faure-Muntian,  M. Leclabart, M. Besson-Moreau, M. Marilossian, M. Cazenove, M. Chalumeau, M. Kokouendo, Mme Toutut-Picard, Mme Cazebonne, M. Galbadon, Mme Beaudouin-Hubiere, Mme Hennion, M. Vignal, Mme De Temmerman, M. Claireaux, M. Bois, Mme Michel, Mme Kuric, M. Morenas, Mme Fontenel-Personne",13,15,,20,32841,1472,True,509,LREM
1,Non soutenu,"M. Hetzel,  M. Marleix, M. Straumann, M. Quentin, M. Dive, M. Menuel, Mme Bazin-Malgras, M. Furst, M. Gosselin, M. Saddier, M. Bazin, M. Rémi Delatte, M. Reiss, M. Pierre-Henri Dumont, M. Goasguen",3,15,,15,76,895,False,384,LR
1,Non soutenu,M. Bothorel,16,15,,1,32848,2054,True,272,LREM
1,Rectifié,"M. Le Fur,  M. Abad, Mme Anthoine, Mme Bassire, Mme Bazin-Malgras, Mme Bonnivard, M. Bouchet, Mme Valérie Boyer, M. Brun, M. Cattin, M. Cinieri, M. Pierre-Henri Dumont, M. Fasquelle, M. Hetzel, M. Huyghe, Mme Louwagie, M. Lurton, M. Marlin, M. Masson, M. Menuel, M. Parigi, M. Quentin, M. Reda, M. Straumann, M. Taugourdeau, M. Viala, M. Vialay, M. Jean-Pierre Vigier",16,15,,28,32849,1599,False,244,LR
3,Tombe,"M. Causse,  M. Le Gac, Mme Mauborgne, Mme Pompili, Mme Marsaud, Mme Mireille Robert, M. Zulesi, Mme Vanceunebrock-Mialon, M. Boudié, M. Haury",24,15,,11,32850,248,True,143,LREM
1,Tombe,Mme Kuster,14,15,,1,32852,338,False,278,LR
1,Tombe,"M. Larive,  Mme Autain, M. Bernalicis, M. Coquerel, M. Corbière, Mme Fiat, M. Lachaud, M. Mélenchon, Mme Obono, Mme Panot, M. Prud'homme, M. Quatennens, M. Ratenon, Mme Ressiguier, Mme Rubin, M. Ruffin, Mme Taurine",14,15,,17,32853,2398,False,207,LFI
1,Adopté,Mme Fabre,100,15,,1,32854,735,True,338,LREM
3,Tombe,M. Acquaviva,14,15,,1,32855,592,False,127,NI
1,Retiré avant séance,"M. Roseren,  Mme Riotton, Mme Degois, Mme Lenne, M. Sempastous, M. Gaillard, Mme Lardet",8,15,,7,32860,500,True,332,LREM
1,Retiré,M. Vercamer,7,15,,1,93,505,False,182,LC
1,Retiré,"M. Causse,  M. Le Gac, Mme Mauborgne, Mme Pompili, Mme Marsaud, M. Zulesi, Mme Mireille Robert, Mme Vanceunebrock-Mialon, M. Perea, M. Boudié, M. Haury",8,15,,12,32863,483,True,240,LREM
2,Rectifié,"M. Le Fur,  M. Abad, Mme Bassire, Mme Bonnivard, M. Bouchet, Mme Valérie Boyer, M. Cattin, M. Cinieri, M. Pierre-Henri Dumont, M. Fasquelle, M. Hetzel, M. Huyghe, Mme Louwagie, M. Lurton, M. Marlin, M. Masson, M. Menuel, M. Parigi, M. Quentin, M. Reda, M. Straumann, M. Taugourdeau, M. Viala, M. Vialay, M. Jean-Pierre Vigier",16,15,,25,32866,2543,False,401,LR
1,Tombe,"M. Saulignac, les membres du groupe Nouvelle Gauche",20,15,,1,32867,1508,False,452,NG
1,Tombe,"Mme Rabault,  M. Jean-Louis Bricout, Mme Pires Beaune, M. Pupponi, M. Faure, M. Aviragnet, Mme Bareigts, Mme Batho, Mme Battistel, Mme Biémouret, M. Bouillon, M. Carvounas, M. Alain David, Mme Laurence Dumont, M. Dussopt, M. Garot, M. David Habib, M. Hutin, M. Juanico, Mme Karamanli, M. Jérôme Lambert, M. Le Foll, M. Letchimy, Mme Manin, Mme Pau-Langevin, M. Potier, M. Pueyo, M. Saulignac, Mme Untermaier, Mme Vainqueur-Christophe, M. Vallaud",109,15,,31,5478,761,False,978,NG
1,Retiré,"M. Pellois,  Mme Melchior, Mme Le Meur, M. Bothorel, M. André, M. Berville, Mme Cloarec, M. Jacques, M. Le Bohec, M. Le Gac, Mme Le Feur, Mme Le Peih, Mme Maillart-Méhaignerie, M. Molac, M. Rouillard, Mme Tanguy, Mme Kerbarh, M. Sorre, M. Galbadon",8,15,,21,32870,5478,True,323,LREM
1,Adopté,le Gouvernement,41,15,gouvernement,1,32871,174,True,334,gouvernement
1,Non soutenu,Mme Brenier,4,15,,1,106,499,False,227,LC
3,Tombe,"M. Lurton,  M. Cinieri, M. Cattin, M. Door, M. Ferrara, M. Hetzel, Mme Levy, M. Perrut, M. Dive, M. Saddier, Mme Louwagie, Mme Beauvais, M. Bazin, M. Quentin",9,15,,14,32875,219,False,231,LR
1,Retiré avant séance,Mme Bareigts,24,15,,1,32879,1844,False,550,NG
2,Adopté,"M. Lurton,  M. Cinieri, M. Cattin, M. Door, M. Ferrara, M. Hetzel, Mme Levy, M. Perrut, M. Dive, M. Saddier, Mme Louwagie, Mme Beauvais, M. Bazin, M. Quentin",8,15,,14,32880,357,False,729,LR
1,Tombe,"Mme Rubin,  Mme Autain, M. Bernalicis, M. Coquerel, M. Corbière, Mme Fiat, M. Lachaud, M. Larive, M. Mélenchon, Mme Obono, Mme Panot, M. Prud'homme, M. Quatennens, M. Ratenon, Mme Ressiguier, M. Ruffin, Mme Taurine",13,15,,17,32881,429,False,214,LFI
1,Adopté,le Gouvernement,37,15,gouvernement,1,32882,1466,True,52,gouvernement
1,Non soutenu,Mme Florennes,1,15,,1,32883,1759,True,528,MODEM
1,Retiré,"M. Emmanuel Maquet,  M. Fasquelle, M. Leclerc, M. Hetzel, M. de Ganay, M. Viala, Mme Louwagie, M. Cordier, M. Reda, Mme Anthoine, M. Lorion, M. Bazin, M. Ramadier, M. Le Fur, M. Huyghe, M. Straumann, M. Gosselin, M. Brun, Mme Beauvais, M. Pauget, M. Masson, M. Ferrara",11,15,,22,32885,974,False,143,LR
2,Irrecevable,"M. Quatennens,  Mme Autain, M. Bernalicis, M. Coquerel, M. Corbière, Mme Fiat, M. Lachaud, M. Larive, M. Mélenchon, Mme Obono, Mme Panot, M. Prud'homme, M. Ratenon, Mme Ressiguier, Mme Rubin, M. Ruffin, Mme Taurine",7,15,,17,118,971,False,140,LFI
1,Non soutenu,Mme Le Peih,7,15,,1,37317,585,True,168,LREM
1,Adopté,le Gouvernement,100,15,gouvernement,1,32888,671,True,61,gouvernement
